,business_id,photo_id,prob_burger,prob_salad,prob_pizza,caption,label
0,sL7RKR9srM8vd0HAMApgpg,_5epoM-0s54YOd7eGxkfxA,0.5520928502082826,0.3321121335029602,0.11579502373933792,,food
1,bJeVUZ8vCVLGYGIaVbY4Xw,N4AfuO5OsUqmW71na9Dlcw,0.7961065173149109,0.05675264447927475,0.14714084565639496,,food
2,fzxvmA3Ygu3yrQQ6-cEpTw,_MVu21O9HLdhFtP_5aM4-A,0.8698190450668335,0.05086397007107735,0.07931702584028244,,food
3,urkODQ1jX0qQzgbqsQjWVQ,DEXx9HwAwm3d1Y4knXhyFw,0.09026099741458893,0.8814849853515625,0.028253993019461632,,food
4,EE_CKAAq7_oL7jfxmUKhuw,cHSEPB3dSOyqVPg4OQpORw,0.045607928186655045,0.008350309915840626,0.9460417628288269,Neighborhood Pastas,food
5,zLHOG9ty0OcXSQ6iy2BwwA,-I7i6WzM6xwL2WIW00xIyA,0.8575270175933838,0.012697326019406319,0.12977570295333862,McDonald's Quarter Pounder with Cheese Extra Value Meal,food
6,OASX1Yrgq_7R1PsYpixRcw,vNMdR339IJqcW_cXZpkrLw,0.06855790317058563,0.017697086557745934,0.9137449264526367,,food
7,VqutAZTwEgFj7FNoTjk3CA,1Mw8JeRs6x8sOKOHbI8r_Q,0.646333634853363,0.0703551322221756,0.28331127762794495,McDonald's Dessert Menu Items,food
8,_imnJaX4EG_BaoXMCyxFig,7FSJ8S-vd7rlTc_iK2BOGg,0.9096982479095459,0.034989506006240845,0.05531225726008415,,food
9,pjpUOlJLlkIxBZ5BquA2PA,i6PzX7UrWqwz_bKCOztM4Q,0.10059823095798492,0.06967567652463913,0.8297260999679565,Burrata with Pesto Pizza Special,food
10,83cVpTJNyzv9lJ20vzBgdg,5kbk6iEiR1yrUNLQDxDl9A,0.07919761538505554,0.006944944150745869,0.9138574004173279,"A good size slice for $2, plus 50 cents for each additional kind of topping. Even better deal: 2 cheese slices + small soda = only $3.50",food
11,pCWg4B0R5gauQR4SJ9VDmw,aeiUxLRjSl3z3jsrwYvISQ,0.0447055883705616,0.005906573962420225,0.9493878483772278,Great pizza,food
12,eMCxf71sTckRZw4GVGwtrw,iUI9s1D1IWbevZm59LvezA,0.013090197928249836,0.0011538839899003506,0.985755980014801,,food
13,Zju9aNvftYAJULT3LGsZzA,7vzLElt_n8LnMmWSZ2wzVw,0.5927653908729553,0.025849195197224617,0.38138532638549805,,food
14,_DPJ_PHJnXsuhYhsgBA0Xw,2pLUCrqhupDFEbZC_df_Rg,0.6957300305366516,0.04192562773823738,0.2623443901538849,12 oz Prime rib,food
15,cUGyI6ZrMXOAMn5EIiHhtw,l2a4nAn_AOLeYRzUSG1zcw,0.8816806077957153,0.1018097847700119,0.01650959625840187,,food
16,D3dAx-QW_uuClz4MambeHA,7n1qTfibzUoR45NoOGd5NQ,0.6259937286376953,0.014670409262180328,0.35933592915534973,,food
17,9a3DrZvpYxVs3k_qwlCNSw,bx1cFXShfALmRFZfpe5q8A,0.8247780203819275,0.13001281023025513,0.04520914703607559,,food
18,lk-UF5MrrRt-nKCN7et60A,iDds9McyMmVehLxvS0d_4g,0.21827645599842072,0.08426570892333984,0.6974577903747559,,food
19,OASX1Yrgq_7R1PsYpixRcw,AD888DkIRF5zKito1A3j8Q,0.5012118220329285,0.021812381222844124,0.47697579860687256,Wings,food
20,G3qjKFza3XCwW7tFRjim8w,vANCnN8s0ZRQ_Q7M6UqfnQ,0.6129852533340454,0.16448993980884552,0.22252483665943146,Cowboy BBQ burger with sweet potato fries!,food
21,V0GHF8CkhOovDeQKCn7YQg,Y0S360ipVlphbW_u38wKnA,0.8731140494346619,0.03003682568669319,0.09684918075799942,,food
