,business_id,photo_id,prob_burger,prob_salad,prob_pizza,caption,label
0,sL7RKR9srM8vd0HAMApgpg,_5epoM-0s54YOd7eGxkfxA,0.9942538142204285,0.00446226354688406,0.0012838677503168583,,food
1,bJeVUZ8vCVLGYGIaVbY4Xw,N4AfuO5OsUqmW71na9Dlcw,0.9822869896888733,0.006825107149779797,0.010887861251831055,,food
2,fzxvmA3Ygu3yrQQ6-cEpTw,_MVu21O9HLdhFtP_5aM4-A,0.9833691716194153,0.01633765920996666,0.0002932355855591595,,food
3,urkODQ1jX0qQzgbqsQjWVQ,DEXx9HwAwm3d1Y4knXhyFw,0.08496294170618057,0.9134050607681274,0.0016319885617122054,,food
4,EE_CKAAq7_oL7jfxmUKhuw,cHSEPB3dSOyqVPg4OQpORw,0.7657679319381714,0.08927041292190552,0.1449616551399231,Neighborhood Pastas,food
5,zLHOG9ty0OcXSQ6iy2BwwA,-I7i6WzM6xwL2WIW00xIyA,0.8993685841560364,0.012224577367305756,0.08840688318014145,McDonald's Quarter Pounder with Cheese Extra Value Meal,food
6,OASX1Yrgq_7R1PsYpixRcw,vNMdR339IJqcW_cXZpkrLw,0.012137521058321,0.0023218607529997826,0.9855405688285828,,food
7,VqutAZTwEgFj7FNoTjk3CA,1Mw8JeRs6x8sOKOHbI8r_Q,0.11269917339086533,0.13463008403778076,0.7526707649230957,McDonald's Dessert Menu Items,food
8,_imnJaX4EG_BaoXMCyxFig,7FSJ8S-vd7rlTc_iK2BOGg,0.9878000020980835,0.007493066135793924,0.004706908483058214,,food
9,pjpUOlJLlkIxBZ5BquA2PA,i6PzX7UrWqwz_bKCOztM4Q,0.012163013219833374,0.033792655915021896,0.9540442824363708,Burrata with Pesto Pizza Special,food
10,83cVpTJNyzv9lJ20vzBgdg,5kbk6iEiR1yrUNLQDxDl9A,0.08791139721870422,0.005023436155170202,0.907065212726593,"A good size slice for $2, plus 50 cents for each additional kind of topping. Even better deal: 2 cheese slices + small soda = only $3.50",food
11,pCWg4B0R5gauQR4SJ9VDmw,aeiUxLRjSl3z3jsrwYvISQ,0.02518613263964653,0.0008264306234195828,0.9739874601364136,Great pizza,food
12,eMCxf71sTckRZw4GVGwtrw,iUI9s1D1IWbevZm59LvezA,1.7626332919462584e-05,6.333043984341202e-06,0.9999760389328003,,food
13,Zju9aNvftYAJULT3LGsZzA,7vzLElt_n8LnMmWSZ2wzVw,0.6285295486450195,0.17402754724025726,0.19744284451007843,,food
14,_DPJ_PHJnXsuhYhsgBA0Xw,2pLUCrqhupDFEbZC_df_Rg,0.9776833057403564,0.0207976084202528,0.0015190528938546777,12 oz Prime rib,food
15,cUGyI6ZrMXOAMn5EIiHhtw,l2a4nAn_AOLeYRzUSG1zcw,0.9987398982048035,0.0012457446428015828,1.4426819689106196e-05,,food
16,D3dAx-QW_uuClz4MambeHA,7n1qTfibzUoR45NoOGd5NQ,0.9995111227035522,0.0003192221629433334,0.00016964355017989874,,food
17,9a3DrZvpYxVs3k_qwlCNSw,bx1cFXShfALmRFZfpe5q8A,0.14767520129680634,0.4980056881904602,0.35431909561157227,,food
